Filename,Image #,Gender,Race,Confident,Egotistic,Intelligent,Kind,Responsible,Trustworthy,Aggressive,Caring,Emotional,Friendly,Sociable,Qualified
Google_1_Anthony Reynoso_13_oval.jpg,41,1,2,5.71,4.07,6,6.5,5.21,5.43,3.36,6.14,5.14,6.79,6.43,1
Google_1_Victoria Pettiford_19_oval.jpg,42,0,1,5.4,4.13,5.93,6.07,6,6.07,3.13,6,5.93,6.2,5.53,1
Google_1_Frank Whitehouse_3_oval.jpg,43,1,1,3.47,4.8,3.73,3.47,3.6,2.73,6.07,4.4,4.67,3.73,4.13,1
Google_1_Tina Dasilva_9_oval.jpg,44,1,2,5.53,4.4,5.87,5.07,5.2,5.4,3.53,5,4.53,5.67,5.53,0
Google_1_Todd Lassiter_7_oval.jpg,45,0,1,5.93,4.93,5.47,6.47,5.67,5.33,3.67,5.47,5.53,6.73,6.53,1
Google_1_Dennis Dobbs_3_oval.jpg,46,1,1,5.13,3.87,6.27,5.4,5.33,5.47,3.13,5.4,4.93,5.87,4.87,0
Google_1_Jimmy Gingerich_11_oval.jpg,47,1,2,6,4.6,6.67,5.73,5.6,5.33,5.27,4.93,5.33,4.93,5.47,0
Google_1_Kristine Rodriquez_7_oval.jpg,48,0,1,6.47,3.8,6.2,6.27,6.53,5.93,4.07,6.67,5.67,6.13,6,1
Google_1_Judy Gilliam_72_oval.jpg,49,0,2,5.47,4.13,6.2,5.8,5.6,6,3.8,5.93,6.27,7.33,6.67,0
Google_1_Bruce Rossi_5_oval.jpg,50,1,1,5.85,4.62,5.77,5.77,5.85,6.08,4,5.69,4.38,5.15,5.62,1
Google_1_Mike Graff_5-oval.jpg,51,1,1,5.73,4.13,5.6,5,4.67,5.67,3.8,5.07,5.13,6.14,5.13,1
Google_1_Kevin Boren_11_oval.jpg,52,1,1,6,4.43,6.43,6.21,6.29,5.36,3.5,5.21,4.86,6.79,5.93,0
Google_1_Christopher Hayden_3_oval.jpg,53,1,1,6.86,4.64,6,5.79,6,6.14,4.29,6,4.21,5.57,6.21,0
Google_1_Nancy Goebel_13_oval.jpg,54,1,1,6.4,3.6,6.33,6.93,7.33,6.73,3.07,5.79,4.4,5.6,5.73,1
Google_1_Nicholas Horan_18_oval.jpg,55,1,1,5.93,5.6,4,4.07,3.8,4.13,5.27,4.73,3.73,4.4,4.93,1
Google_1_Wendy Mori_3_oval.jpg,56,0,2,7.07,4.47,5.93,6,5.93,6.6,3.27,6.53,5.8,6.4,6.4,0
Google_1_Adrienne Butler_1_oval.jpg,57,0,2,5.8,5.67,4.53,4.2,4.2,4.13,6.8,3.6,6.33,3.4,4,1
Google_1_Louise Hodson_15_oval.jpg,58,0,1,6.4,3.6,5.13,6.47,5.73,6.4,3.2,6.4,6.47,6.4,6.33,0
Google_1_Aaron Holzer_7_oval.jpg,59,1,1,5.67,4.53,6.53,6,5.73,6.07,4.13,5.8,4.8,5.53,6.07,0
Google_1_Vickie Marquardt_11_oval.jpg,60,0,1,6.47,4.27,5.73,5.93,6,5.73,2.73,6,5.73,6.67,6.33,0
Google_1_Megan Springer_15_oval.jpg,61,0,1,6.07,3.87,5.53,6.2,5.73,5.33,3.47,6.27,5.73,6.8,6.8,0
Google_1_Larry Perryman_5_oval.jpg,62,1,1,5.6,4.07,6.27,5.07,6.33,5.6,3,5.53,4,6.33,6,0
Google_1_Ronald Lamar_11_oval.jpg,63,1,2,5.6,4,5.47,5.27,5.33,4.93,3.47,5.73,4.53,5.93,6.27,0
Google_1_Matthew Click_5_oval.jpg,64,1,1,5.2,3.4,5.47,5.6,4.93,5.2,3.07,5.93,4.8,5.93,5.6,1
Google_1_Christopher Krebs_1_oval.jpg,65,1,1,5.57,3.64,6.14,6,5.86,6.36,4.64,5,4.86,6,5.5,0
Google_1_Dale Coons_7_oval.jpg,66,0,1,5.71,3.29,6.5,6.79,6.43,7.14,3.07,6.29,6,6.57,6.36,0
Google_1_Albert Makowski_6_oval.jpg,67,0,1,4.67,3.4,5.33,5,5.8,5.73,3.87,5.07,4.73,3.8,4.27,0
Google_1_John Baumgartner_7_oval.jpg,68,0,1,6.67,4.33,5.67,6.6,6.47,6.47,3.73,6,5.2,6,6.4,0
Google_1_Justin Foss_9_oval.jpg,69,1,1,6,4.53,5.13,5.87,4.6,5.07,4.53,5.4,4.53,5.93,6.73,0
Google_1_Lawrence Caffey_13_oval.jpg,70,1,1,5.29,5.43,3.5,2.71,3.57,3.07,7.36,3.07,3,3.29,3.36,0
Google_1_Steven Mayorga_9_oval.jpg,71,0,6,7,5.67,5.67,5.6,5.67,6.2,3.07,4.87,5.13,6.33,6.27,0
Google_1_Jessica Almaraz_19_oval.jpg,72,1,1,4.43,4.07,4.79,5.14,4.93,4.86,3.64,5.29,4.71,5.86,5,0
Google_1_Robert Pyles_1_oval.jpg,73,1,1,5.53,4.73,5.6,4.53,5.33,5.13,5.2,3.87,4,3.87,4.13,0
Google_1_Leonard Vetter_11_oval.jpg,74,1,1,6.2,4.67,5.87,6,6.4,5.8,3,5.6,4.27,5.4,5.87,0
Google_1_Walter Madden_5_oval.jpg,75,0,1,6.73,3.47,6.13,6.27,6.2,6.13,3.87,5.67,5.27,6.07,6.6,1
Google_1_Chris Wacker_17_oval.jpg,76,1,1,6.67,5.07,5.27,4.6,5.8,4.93,4.8,4.27,4.73,5,5.4,0
Google_1_Joe Moats_5_oval.jpg,77,1,1,5.93,4.47,5.73,4.8,5.67,4.93,4.13,4.53,3.87,4.73,4.47,0
Google_1_Steve Goldsmith_1_oval.jpg,78,1,1,6.4,5.53,6.6,5.8,6.33,5.13,3.47,5.6,4.27,5.87,5.67,0
Google_1_Gary Coyle_1_oval.jpg,79,0,1,4.47,3.4,4,6.07,4.93,5.2,3.47,6.27,6,6.47,6.27,1
Google_1_Felicia Baldwin_13_oval.jpg,80,0,1,5.4,5.53,6,5.53,4.53,4.4,4.93,5,5.6,4.93,5.67,0
Google_1_Jennifer Shuster_3_oval.jpg,81,0,1,5.15,3.62,6.15,6,6,6.31,3.38,6.62,5.77,6.62,6.15,0
Google_1_Susan Froehlich_13_oval.jpg,82,0,1,5.47,3.87,6.13,5.73,5.67,5.27,3.6,5.8,4.93,5.73,5.6,0
Google_1_Steve Center_5_oval.jpg,83,1,3,5.47,3.07,6.67,5.8,5.79,5.6,3.93,5.4,4.93,5.87,5.6,0
Google_1_Beatrice Mark_1_oval.jpg,84,0,1,5.47,4.87,5.33,4.33,5.07,4.73,3.47,5.13,5.6,5.47,5.73,0
Google_1_Stephanie Buckner_7_oval.jpg,85,0,1,6.13,4.27,7.13,6.8,6.27,6.8,3.2,6.53,5.07,7.2,7.13,0
Google_1_Miriam Harlow_7_oval.jpg,86,0,1,5.57,3.21,5.86,6.43,6.21,6.71,3.29,5.64,5.07,5.64,6,0
Google_1_Theresa Forsberg_7_oval.jpg,87,1,1,6.14,6.36,6.14,4.21,6.07,4.07,3.43,5.71,5.21,5.71,6.07,0
Google_1_Mark Endicott_3_oval.jpg,88,0,1,5.86,3.21,5.86,6.64,6.5,6.29,2.71,5.93,6,6.29,6.14,0
Google_1_Kenneth Loftis_15_oval.jpg,89,0,1,5.29,3.29,5.64,6.64,5.93,6.14,3.43,5.43,5.93,5.57,4.71,0
Google_1_Manuel Liddell_17_oval.jpg,90,1,1,5.29,4.57,4.93,5.43,4.36,5.43,4.21,4.57,4.14,5.57,5.43,0
Google_1_Alan Schlosser_17_oval.jpg,91,1,1,6.43,5.79,6.36,5,6.07,4.07,4.29,5.21,5.07,5.14,5.21,1
Google_1_Bruce Hartsock_3_oval.jpg,92,1,1,6.07,6,4.2,4.87,5.8,5.13,3.67,5.47,4.6,4.93,5.8,0
Google_1_Paula Gorham_11_oval.jpg,93,0,1,5.87,3.8,6.13,6.27,5.67,6.53,3.33,5.93,5.53,6.47,5.93,0
Google_1_Marvin Billy_13_oval.jpg,94,1,3,4.33,3.73,5.53,4.07,5.33,5.13,4.4,4.27,4.13,3.67,3.8,0
Google_1_Bruce Richmond_3_oval.jpg,95,1,1,5.07,3.67,6.47,6.07,5.8,5.27,3.4,5.73,4.8,6.4,6.53,0
Google_1_Dale Tolley_13_oval.jpg,96,1,1,6.6,4.4,6.33,5.6,6.47,5.33,4.87,5.67,5.13,5,6.07,0
Google_1_Samuel Pugliese_19_oval.jpg,97,1,1,6,5.13,5.67,5.53,6.13,6,4.33,5.53,4.2,5.87,5.8,0
Google_1_Russell Baxter_15_oval.jpg,98,1,1,5.2,5.2,4.33,3.4,3.47,3.6,7.2,2.87,5,3.33,3.67,0
Google_1_Debra Manion_15_oval.jpg,99,1,1,5.93,4.6,6.07,5.6,5.33,5.6,2.47,6.2,4.53,6.4,6.27,1
Google_1_Jeanette Navarro_1_oval.jpg,100,0,2,6,4.29,5.43,5.93,5.93,6.43,3.21,6.07,5.64,6.5,5.93,0
Google_1_Kristen Weidner_1_oval.jpg,101,0,1,6.07,4.27,4.87,6.07,5,5.6,4.27,6.13,5.6,6.27,5.87,0
Google_1_Bruce Honaker_16_oval.jpg,102,1,1,6.07,3.5,5.64,6.57,6.43,6.21,3,5.5,4.5,7.21,6.21,0
Google_1_Randy Barclay_7_oval.jpg,103,0,1,5.93,2.93,5.93,6.73,6.8,6.53,3.2,6.27,4.73,6.07,5.93,0
Google_1_Laurie Mcnamara_19_oval.jpg,104,0,1,5.27,3.6,6.07,6.29,5.27,5,3.27,6,6.07,6.87,6.4,0
Google_1_Denise Bach_7_oval.jpg,105,0,1,5.2,4.67,5.27,5.4,5.4,5,4.2,5.4,5.53,5.07,5.93,0
Google_1_Lori Davidson_15_oval.jpg,106,0,1,6.2,2.8,6.8,7.13,7,6.53,3.6,6.53,5.53,7.07,6.73,0
Google_1_Debbie Ginsberg_7_oval.jpg,107,0,1,6.07,6.07,6.13,4.27,4.93,5.27,5.27,3.67,4.73,3.87,5.47,0
Google_1_Douglas Zelaya_19_oval.jpg,108,0,1,5.2,4.4,5.8,4.27,5.4,5.27,4,4.27,5,5,5.33,0
Google_1_David Lovely_3_oval.jpg,109,1,1,4.2,3.8,4.2,4.87,3.93,4.67,5.47,3.87,5.33,4,4.53,0
Google_1_Ryan Concepcion_19_oval.jpg,110,1,1,6.07,6,5.67,4.53,5.2,4.73,5.07,4.67,5.47,4.4,4.53,0
Google_1_Ryan Marvel_15_oval.jpg,111,1,1,6.33,5.33,6.2,5,6.13,5.33,4.27,5.2,4.6,5.4,5.73,0
Google_1_Norman Mccluskey_7_oval.jpg,112,1,2,6.07,5.43,5.36,5.57,5.79,5.43,5.21,4.43,4.57,4.5,4.79,1
Google_1_Louis Irons_13-oval.jpg,113,1,1,6.85,2.69,6.46,6.54,6.08,6.23,3.08,6,6.31,6.31,6.15,1
Google_1_Fannie Trader_5_oval.jpg,114,1,1,5.64,5.57,6.43,3.93,5.71,4.43,5.14,4.14,3.71,4,3.43,0
Google_1_Jeannette Register_3_oval.jpg,115,0,1,5.67,4.27,5.71,5.73,6.07,5.67,3,6.67,5.07,6.4,6.2,0
Google_1_Aaron Rust_19_oval.jpg,116,1,1,5.93,5.33,5.27,4.13,4.67,4.53,4.47,4.27,3.93,4.53,5.2,0
Google_1_Phillip Grantham_17_oval.jpg,117,0,1,6.8,3.47,5.6,5.73,5.93,6,3.27,6.47,5.8,6.67,6.67,1
Google_1_Rebecca Hatfield_13_oval.jpg,118,0,1,3.86,4.64,4.36,3.21,3.93,3.64,5.07,3.14,5.79,2.57,2.46,0
Ana_Bahr_11_oval.jpg,119,0,1,5.53,3.87,6.33,6.2,6.07,5.93,3.27,6.13,5.27,5.87,5.53,0
Google_1_Jeanne Brian_3_oval.jpg,120,1,1,6.8,5.73,5.93,5.47,5.8,5.6,4.2,6.67,5.13,7.67,7.33,0
Google_1_Brian Melton_15_oval.jpg,121,1,2,5.43,4.71,5.36,4.5,4.71,4.71,5.14,3.79,3.43,4.14,5.29,0
Google_1_Todd Dunleavy_9_oval.jpg,122,1,1,5.87,5.6,6.07,5.8,5.87,5.47,3.6,5.47,4.2,6,6.27,0
Google_1_Patsy Vice_5_oval.jpg,123,0,1,5.87,3.47,5.87,6.2,5.93,6,2.8,6,5.2,6.6,6.93,0
Google_1_Christy Bellamy_15_oval.jpg,124,0,2,4.57,3.5,5.29,4.93,5.36,5.79,4.43,4.79,4.71,5,3.93,0
Google_1_Peter Contreras_9_oval.jpg,125,1,1,5.4,4.47,5.2,5.13,5.8,4.47,4.33,4.93,4.6,5.13,5.13,0
Google_1_Candice Varney_11_oval.jpg,126,1,1,7.14,6,5.86,5,5.71,4.71,5.86,3.5,3.64,3.86,5.21,0
Google_1_Priscilla Terry_3_oval.jpg,127,0,1,6.2,2.8,5.87,6.4,6.53,6.27,2.6,6.67,5.8,6.47,6.4,0
Google_1_Bobby Augustine_7_oval.jpg,128,1,1,6.08,6.62,5.46,4.69,4.77,4.23,4.54,3.92,5,4.23,5.08,0
Google_1_Glenn Toscano_15_oval.jpg,129,1,1,5.67,3.53,6.93,5.47,6.33,5.87,3.2,5.2,4.07,5.8,5.73,0
Google_1_Billy Kiely_1_oval.jpg,130,1,1,5,5.2,5.67,3.2,6.47,4.93,5.67,5.07,5.6,4.33,5.4,0
Google_1_Terry Mccarley_17_oval.jpg,131,1,1,7.07,6.13,6.6,5.87,6.07,6.27,5.27,5.8,4.33,6.13,6.73,1
Google_1_Hazel Dunleavy_15_oval.jpg,132,1,1,5.57,4.43,5.64,6.71,5.71,6.14,3.79,5.5,4.14,6.64,5.79,0
Google_1_Barbara Trawick_5_oval.jpg,133,0,1,5.93,4.71,4.86,5.43,5.21,5.29,4.14,4.79,5.5,5.14,6.57,0
Google_1_Natalie Maes_7_oval.jpg,134,1,1,5.5,4.38,6.71,5.14,5.86,5.43,3.93,5.36,5.14,5.43,6.07,1
Google_1_Frank Luke_9_oval.jpg,135,1,1,4,4.2,4.73,4.93,4.87,4.87,4.33,5.27,5.27,5.53,5.87,0
Google_1_Mattie Weil_3_oval.jpg,136,0,1,6,5.15,6.77,5.15,6.15,5.31,4.23,5.77,6,5.77,6.33,0
Allison_Samson_13_oval.jpg,137,0,1,4.33,4.6,5.4,4.67,5.2,5,3.8,5.07,5.53,5.07,5.6,0
Google_1_Melody Barnett_5_oval.jpg,138,0,1,5.27,3.6,4.87,6.27,5.93,6.27,2.6,5.13,5.13,6.2,5.47,1
Google_1_Mark Shilling_1_oval.jpg,139,1,1,5.93,5.07,5.07,5.13,5.53,4.67,4.4,5.73,4.6,6,5.8,0
Google_1_Audrey Persinger_7_oval.jpg,140,0,1,5,3.8,5.2,5.13,5.47,5.13,3.47,5.47,5.4,5.6,4.8,1
Google_1_Donald Mcclurg_16_oval.jpg,141,1,1,5.33,4.33,4.93,5.13,4.33,4.33,4.36,5.2,4.87,5.13,5.33,0
Google_1_Gwendolyn Abbott_17_oval.jpg,142,1,2,6,4.4,6.27,6,5.07,5.2,3,6.2,5,7.2,6.87,0
Google_1_Manuel Mccrory_3_oval.jpg,143,1,1,4.07,4,4.33,3.67,4.47,4,5.2,3,3.73,3,3.07,0
Google_1_Steven Bickerstaff_1_oval.jpg,144,1,1,5.67,4.8,5.93,4.53,5.47,4.6,4.4,5.33,4.67,5.53,5.93,0
Google_1_Constance Houck_5_oval.jpg,145,0,5,6.27,2.73,5.33,6.27,6.53,6.6,4,6.27,5.27,5.6,6.33,0
Google_1_Norman Westfall_5_oval.jpg,146,1,1,6.27,4,6.2,6.33,6.6,6.07,4.13,6.2,4.13,5.27,5.53,0
Google_1_Lola Parnell_1_oval.jpg,147,0,1,5.4,4.33,5.53,5,5.27,5,3.93,5.53,5.67,5.8,6.07,0
Google_1_Robyn Shupe_13_oval.jpg,148,0,1,3.64,2.57,3.79,4.57,4.79,4.5,3.43,5.21,5.29,5.79,5,0
Google_1_Sarah Troupe_7_oval.jpg,149,0,1,6.27,2.27,6.8,6.4,7.27,6.27,3.47,6.2,5.87,6.67,6.6,0
Google_1_Wendy Gates_3_oval.jpg,150,0,1,5.93,3.57,6.07,6.79,6.29,6.14,3.79,6.14,5.07,6.07,5.86,0
Google_1_Judith Stock_13_oval.jpg,151,0,1,3.07,3.53,3.67,3.93,3.4,3.4,5.13,4.13,5.27,4.13,3.87,0
Google_1_William Ferris_1_oval.jpg,152,0,1,6.47,3.53,6,5.67,6.2,5.8,2.6,7.27,5.6,6.47,6.47,0
Google_1_Jacob Bonney_15_oval.jpg,153,0,1,6.67,3.47,6,6.93,6.4,6.07,1.93,6.6,6.33,7.4,7.6,0
Google_1_Jeanne Lafrance_1_oval.jpg,154,0,1,6.07,3.07,5.8,6.13,6.8,6.13,2.8,6.4,4.87,5.6,6.2,0
Albert_Waring_1_oval.jpg,155,1,1,6.27,5.93,4.13,4.73,4.73,4.87,3,5.07,4.13,6.8,6.67,1
Google_1_James Fogg_7_oval.jpg,156,1,2,5.67,3.67,6.07,6.47,5.67,5.53,4.47,6.43,4.87,5.73,6.53,1
Google_1_George Cobb_13_oval.jpg,157,1,1,5.8,4.67,6.53,5.2,6.47,5.07,3.6,6.73,5.93,6.6,6.53,0
Google_1_Gregory Packard_3_oval.jpg,158,1,1,5.64,4.13,6.13,6.33,6.53,5.47,4,5.27,3.73,5.27,5.47,1
Google_1_Peter Coffelt_11_oval.jpg,159,0,3,5,3.2,5.4,6.67,6.87,6.47,3,6.73,5,5.93,5.6,0
Google_1_Jane Standifer_11_oval.jpg,160,0,1,6.93,4.67,6.33,6.2,6.27,5.47,4.07,5.73,5.8,6.67,6.47,0
Google_1_Leonard Altman_15_oval.jpg,161,0,1,6.07,3.21,5.86,6.36,6.79,6.14,3.57,5.71,6.14,6.29,6,0
Google_1_Marjorie Mahon_1_oval.jpg,162,0,1,5.2,3.93,5.53,4.4,5.8,5,4.07,4.8,4.53,4.07,4.33,0
Google_1_William Moline_7_oval.jpg,163,1,1,5,3.73,5.87,5.33,6.27,5.73,4.07,5.07,3.47,5.6,4.33,0
Google_1_Lorraine Childers_17_oval.jpg,164,1,1,5.8,4.13,6.07,4.53,5.87,5.27,4.53,5.2,4.87,3.8,4.53,0
Google_1_Allen Aubin_5_oval.jpg,165,1,1,6,4.29,6.07,5.64,5.79,5.36,4.14,5,4.71,6.14,6.79,0
Google_1_Kristen Eckstein_1_oval.jpg,166,0,1,5.67,3.6,5.73,5.93,6.13,6,3.13,5.67,5.2,6.73,6.33,0
Google_1_Jacob Cloutier_15_oval.jpg,167,1,1,5.21,4.57,5,5.21,5.86,5,3.71,4.77,4.5,4.43,3.79,0
Google_1_Wilma Allman_15_oval.jpg,168,1,1,4.29,4.36,5.36,5.29,4.93,4.71,4.36,4.21,4.29,4.64,3.36,1
Google_1_Eric Croft_13_oval.jpg,169,1,1,6.4,4.73,5.67,5.4,5.87,5.53,4.73,5.73,5.33,5.47,6,0
Google_1_George Savage_3_oval.jpg,170,1,1,5.13,5.33,5.8,4.6,5.2,4.33,3.8,4,3.4,4.47,4.53,0
Google_1_Leah Speaks_16_oval.jpg,171,0,1,5,3.73,5.33,6.07,4.6,5.6,3.4,5.2,5.27,6.4,6.4,0
Google_1_Peter Kline_11_oval.jpg,172,1,1,6.5,5.07,5.21,4.64,6,4.71,4.14,5.57,4.71,6.43,6.29,0
Brandon_Kellogg_15_oval.jpg,173,1,2,6.4,5.2,5.6,5.8,5.93,5.87,2.8,6.07,4.6,6.4,6.27,0
Google_1_Walter Shealy_13_oval.jpg,174,0,1,4.73,3.4,5.73,5.8,5.87,4.87,3.87,5.87,4.73,6.07,5.27,0
Google_1_Dennis Nettles_7_oval.jpg,175,1,1,6.53,5.33,5.33,5.13,6.2,5.8,4.47,4.93,5.07,6,6.53,0
Google_1_Sheri Bouton_7_oval.jpg,176,0,1,5.86,4.29,6.07,5.5,6.14,5.36,2.79,6,4.93,5.86,5.79,0
Google_1_Howard Matthews_5_oval.jpg,177,1,1,5.33,4,4.4,5.6,5.6,5.73,4.2,5.33,5.33,6.53,6.47,0
Google_1_Sean Holcomb_17_oval.jpg,178,0,1,5.67,3.67,5.33,5.8,5.6,5.67,2.33,6.53,5.47,6.93,6.73,1
Google_1_Marcia Julius_7_oval.jpg,179,0,2,6.47,3.73,6.87,6.4,6.87,6.53,3.07,6.6,5.8,7.13,7.07,0
Google_1_Sonia Linder_5_oval.jpg,180,0,6,5.2,4.67,5.2,5.53,5.2,4.6,3.53,6.07,6.4,5.67,6.2,0
Charles_Shin_17_oval.jpg,181,0,3,5.8,3.33,6.53,6.47,6.33,6.6,3.27,6.6,5.4,6.13,6.33,0
Google_1_Judy Dietz_11_oval.jpg,182,0,1,5.47,3.53,4.67,5.53,5.93,5.53,3.93,6.33,4.93,5.87,6.73,0
Google_1_Stanley Mcclendon_5_oval.jpg,183,1,2,6.33,4.33,5.53,4.87,4.87,5,5.07,4.73,4.33,4.67,5,0
Google_1_Diana Galvan_1_oval (2).jpg,184,1,1,6.4,4.4,6.47,5.93,6.87,5.4,3.43,5.87,4.87,5.53,6.27,1
Gerald_Sloan_3_oval.jpg,185,1,1,5.57,3.86,5.21,6.14,5.64,5.36,3.21,6,4.57,6.14,6.57,1
Google_1_Ralph Claypool_1_oval (2).jpg,186,1,1,5.6,4.53,6.13,5.53,5.73,5.6,4.67,4.53,4,4.73,5.13,0
Google_1_Mildred Mattern_1_oval.jpg,187,0,1,6.33,3.73,5.8,6.07,5.8,6.33,2.53,6.13,5.33,6.93,6.13,0
Google_1_Gregory Cushman_15_oval.jpg,188,1,1,5.93,3.93,6.47,5.47,6.47,5.8,4.73,4.73,3.93,5.2,5.53,1
Google_1_Steve Stamm_1_oval.jpg,189,0,1,5.8,3.47,6.27,6.73,6.33,6.07,3,5.73,4,5.93,5.8,0
Eric_Barbour_17_oval.jpg,190,1,1,5.87,4.2,5.93,6.27,6.87,6.67,3,5.47,4.6,5.6,5.8,0
